<?xml version="1.0"?>
<datafile xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xsi:schemaLocation="https://datomatic.no-intro.org/stuff https://datomatic.no-intro.org/stuff/schema_nointro_datfile_v3.xsd">
	<header>
		<id>28</id>
		<name>Nintendo - Nintendo DS (Encrypted) (Aftermarket)</name>
		<description>Nintendo - Nintendo DS (Encrypted) (Aftermarket)</description>
		<version>20260519-192025</version>
		<author>1988reload, aci68, ajshell1, Arctic Circle System, Aringon, asapy, Baronluigi, Bent, buckwheat, C. V. Reynolds, chillerecke, Connie, coraz, darthcloud, Datman, DeadSkullzJr, Densetsu, DeriLoko3, diego-rbb, DirkDagger, einstein95, Flashfire42, Fonix, fuzzball, Gefflon, Hiccup, hydr0x, iAmGhost, Icyelut, InternalLoss, Jhon591, jimmsu, Just001Kim, kaos, kazumi213, Kirtai, leekindo, Lesserkuma, Liam, MaxG, MeguCocoa, michal99, MisterSheeple, Money_114, Mr.K, NGEfreak, nhlay, niemand, nnssxx, NovaAurora, number, NWPlayer123, omonim2007, Powerpuff, PPLToast, Prominos, Psychofox11, psykopat, rarenight, relax, RetroGamer, Rifu, root, scorp256, Sir VG, SonGoku, Tauwasser, TBemme, Tescu, ToeKnee, togemet2, Tori, u53r123, ufocrossing, UnlockerPT, Vallaine01, Vigi, Whovian9369, Xenirina, xprism, xuom2, zg</author>
		<homepage>No-Intro</homepage>
		<url>https://www.no-intro.org</url>
		<clrmamepro forcenodump="required"/>
	</header>
	<game name="Chess Timeslots (World) (Aftermarket) (Unl)" id="6793">
		<category>Games</category>
		<description>Chess Timeslots (World) (Aftermarket) (Unl)</description>
		<rom name="Chess Timeslots (World) (Aftermarket) (Unl).nds" size="730112" crc="e5d52367" md5="fe4c60069eaab4da41a9a886a0406c9d" sha1="7e067375ab333a344190c18786b46929939ef010" sha256="f580511fa96d33c7b8b451670369e8632b246bd9ec01d278841f1a154e3abf09"/>
	</game>
	<game name="Club Penguin DS (World) (Proto 2) (Aftermarket) (Unl)" id="6794">
		<category>Games</category>
		<category>Preproduction</category>
		<description>Club Penguin DS (World) (Proto 2) (Aftermarket) (Unl)</description>
		<rom name="Club Penguin DS (World) (Proto 2) (Aftermarket) (Unl).nds" size="3618880" crc="b8081a77" md5="d3ccf8cd6a895a022c3d01e59c36d5f8" sha1="a457b340a5face038cad0c343c94ca647c979b72" sha256="23d8e3f6970e27cbc8896d879e565724e0e77ab479ab51bc00a67aa38b009fcd"/>
	</game>
	<game name="Club Penguin DS (World) (Proto 1) (Aftermarket) (Unl)" id="6795" cloneofid="6794">
		<category>Games</category>
		<category>Preproduction</category>
		<description>Club Penguin DS (World) (Proto 1) (Aftermarket) (Unl)</description>
		<rom name="Club Penguin DS (World) (Proto 1) (Aftermarket) (Unl).nds" size="2874432" crc="32112f2d" md5="82999f1acc8e32bcc4ecf392be035130" sha1="8957efe86172df7f53101a59cbd8d55f1574a616" sha256="8eed191a455d352a017abed7150ff816f77f673c7c8a428a277c28d2f4639218"/>
	</game>
	<game name="Darnell - Crystal Fever (World) (v1.2) (Aftermarket) (Unl)" id="6788">
		<category>Games</category>
		<description>Darnell - Crystal Fever (World) (v1.2) (Aftermarket) (Unl)</description>
		<rom name="Darnell - Crystal Fever (World) (v1.2) (Aftermarket) (Unl).nds" size="4099480" crc="ac868e20" md5="dd87253b18648cceb62eb05d29a8aa9c" sha1="f1861170b5a1a0c74e4c08806b792fdd7f58b807" sha256="5da903fcb0c4c0abb32067123a52ac6df47dcd4f497288d96606cd40015c6ba0"/>
	</game>
	<game name="Donsol (World) (Aftermarket) (Unl)" id="6790">
		<category>Games</category>
		<description>Donsol (World) (Aftermarket) (Unl)</description>
		<rom name="Donsol (World) (Aftermarket) (Unl).nds" size="205824" crc="36b3f466" md5="02d8b10517b2f2869f48a121e4e96ac5" sha1="8eacf9b8d6437341ac76c61825ca9a364e4c249a" sha256="588fc07d1ebaa2bb00c8551859d75afbd688c110e349e1f8d1a3f974570fb060"/>
	</game>
	<game name="DSCube (World) (Aftermarket) (Unl)" id="6796">
		<category>Games</category>
		<description>DSCube (World) (Aftermarket) (Unl)</description>
		<rom name="DSCube (World) (Aftermarket) (Unl).nds" size="1402880" crc="e14cb906" md5="8f63cbc7a46e46fdf52f351b2a70d13e" sha1="39f973a4fbb8932144f146e40ae15391f65c00ad" sha256="6740b0dcd805056232de7d859fc8f76c80cbbdbe2bb6b1ac9d6c6ee649fa1352"/>
	</game>
	<game name="EvoWars - Alien Assault (World) (Aftermarket) (Unl)" id="6797">
		<category>Games</category>
		<description>EvoWars - Alien Assault (World) (Aftermarket) (Unl)</description>
		<rom name="EvoWars - Alien Assault (World) (Aftermarket) (Unl).nds" size="74603520" crc="e5fd9052" md5="885fa258aaa4a9a401a1a31bac8914e2" sha1="b10d010e2329b8dbd615142efe330664d2633930" sha256="47a12de3a61047db14477ec51b73804070d0c46bff9b6f67f7b7b6b81488cf61"/>
	</game>
	<game name="EvoWars - Alien Assault (World) (Demo) (Aftermarket) (Unl)" id="6798" cloneofid="6797">
		<category>Demos</category>
		<category>Games</category>
		<description>EvoWars - Alien Assault (World) (Demo) (Aftermarket) (Unl)</description>
		<rom name="EvoWars - Alien Assault (World) (Demo) (Aftermarket) (Unl).nds" size="74599424" crc="b89ec6a8" md5="b6dfa1ed7c9d5a19f9812c5fae0fdb66" sha1="143c69f9db3f831c21b818009c8088a1ba760bc8" sha256="01577c6038ac521f1d2355352ffe16d379ff2fe1c9ff53f9acd7208565dd45a1"/>
	</game>
	<game name="Gurgosus Bowling DS (World) (v1.1) (Aftermarket) (Unl)" id="6783">
		<category>Games</category>
		<description>Gurgosus Bowling DS (World) (v1.1) (Aftermarket) (Unl)</description>
		<rom name="Gurgosus Bowling DS (World) (v1.1) (Aftermarket) (Unl).nds" size="1158144" crc="9ec0a4dd" md5="6dd0adb77df49b09b9f4602cbeca3beb" sha1="eb8b3772b7b4d8a7cf700047ba61caff90707e43" sha256="cdfde18accee59230b18fb3858d9a0f5944380506ca7626391d62b272339952a"/>
	</game>
	<game name="Gurgosus Bowling DS (World) (v1.1) (No Sound) (Aftermarket) (Unl)" id="6784" cloneofid="6783">
		<category>Games</category>
		<description>Gurgosus Bowling DS (World) (v1.1) (No Sound) (Aftermarket) (Unl)</description>
		<rom name="Gurgosus Bowling DS (World) (v1.1) (No Sound) (Aftermarket) (Unl).nds" size="1056768" crc="850812bb" md5="98bce6cc52a692153cf00c8a1c48f405" sha1="a5e118285d47f7da8efb7874cd51557a62e88b93" sha256="d101ba5c0e4a9f06589999ca06bb43ebef7ffe2f9ddb86e5bedd1b3f2266e81a"/>
	</game>
	<game name="Lizard Noisemaker (World) (Aftermarket) (Unl)" id="6799">
		<category>Games</category>
		<description>Lizard Noisemaker (World) (Aftermarket) (Unl)</description>
		<rom name="Lizard Noisemaker (World) (Aftermarket) (Unl).nds" size="6775808" crc="70e6d254" md5="65d5a0cc217e4633ab2261d0f573b174" sha1="6ecce2c3615c936366986f65f0a7732ad5325446" sha256="c2a2e6e5c78c8e355e9e7c146f047f9d3b28f046e43474c3e36bd416639688e2"/>
	</game>
	<game name="Magic Battle NDS (World) (Aftermarket) (Unl)" id="6787">
		<category>Games</category>
		<description>Magic Battle NDS (World) (Aftermarket) (Unl)</description>
		<rom name="Magic Battle NDS (World) (Aftermarket) (Unl).nds" size="551936" crc="ed6217a0" md5="3568fd323f0487101339d904050faf54" sha1="0c67fe01af9344ba60af3edc0923b0683fb06f3a" sha256="c455f0dfad25da8981aff0efa646ff9bb3c874c2aeb4b2188dbd7943e4f2ba8f"/>
	</game>
	<game name="Meteora (World) (BlocksDS) (Aftermarket) (Unl)" id="6771">
		<category>Games</category>
		<description>Meteora (World) (BlocksDS) (Aftermarket) (Unl)</description>
		<rom name="Meteora (World) (BlocksDS) (Aftermarket) (Unl).nds" size="3027456" crc="3213944a" md5="fd2fc20108611a1d69aed141fb1b3ffa" sha1="49813492177eb33b0347bd0af2cd5e822b203002" sha256="2dcee7cf55eb18c60576d46a0a09c6009777eca809c0f5330cd72182b14feb5f"/>
	</game>
	<game name="Minicraft DS Edition (World) (Proto 3) (Aftermarket) (Unl)" id="6780">
		<category>Games</category>
		<category>Preproduction</category>
		<description>Minicraft DS Edition (World) (Proto 3) (Aftermarket) (Unl)</description>
		<rom name="Minicraft DS Edition (World) (Proto 3) (Aftermarket) (Unl).nds" size="1214976" crc="a923db06" md5="61988232caaf6ace146f04ad7009f864" sha1="5f855714c023f9c97e1c35d2d7fd7e57c7ca5eed" sha256="d47b57e1dcb1bbac3a6e11d44afd9e444a0aff2fb306e67159a950d485731819"/>
	</game>
	<game name="Minicraft DS Edition (World) (Proto 2) (Aftermarket) (Unl)" id="6781" cloneofid="6780">
		<category>Games</category>
		<category>Preproduction</category>
		<description>Minicraft DS Edition (World) (Proto 2) (Aftermarket) (Unl)</description>
		<rom name="Minicraft DS Edition (World) (Proto 2) (Aftermarket) (Unl).nds" size="648704" crc="9b8137d6" md5="7adf065b8c37ae384c814225d7ba349a" sha1="8418d8c0a207e1598ef95c9ac1ba00d3f570eb6e" sha256="fc8060d31cc07de63f4f9d377a7b89f726a0a3ede24736c2ee532b1df0c75499"/>
	</game>
	<game name="Minicraft DS Edition (World) (Proto 1) (Aftermarket) (Unl)" id="6782" cloneofid="6780">
		<category>Games</category>
		<category>Preproduction</category>
		<description>Minicraft DS Edition (World) (Proto 1) (Aftermarket) (Unl)</description>
		<rom name="Minicraft DS Edition (World) (Proto 1) (Aftermarket) (Unl).nds" size="648192" crc="d6ecefbf" md5="fb516ff74cbabb2a5baef5891fa7c7df" sha1="42e78c8ff0d2104590ae1e38f82f158ef4d93b80" sha256="9abe8010c3627ce5604983d4c0702f768841796a50b54f43ca1fdffd64c74e67"/>
	</game>
	<game name="Pingwinek Kelvin DS (World) (Pl) (Aftermarket) (Unl)" id="6785">
		<category>Games</category>
		<description>Pingwinek Kelvin DS (World) (Pl) (Aftermarket) (Unl)</description>
